Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen_Width,Screen_Height,CPU_Brand,CPU_Frequency,Memory_Amount,Memory_Type,GPU_Brand
Dell,Ultrabook,13.3,16,Windows 10,1.2,1869.0,3200,1800,Intel,1.8,512000,SSD,Intel
Lenovo,Notebook,14.0,4,Windows 10,1.44,249.0,1366,768,Intel,1.1,64000,Flash,Intel
Acer,Notebook,15.6,4,Linux,2.1,367.0,1366,768,Intel,2.7,1000000,HDD,Intel
Dell,Notebook,17.3,8,Windows 10,2.8,979.0,1920,1080,Intel,1.6,128000,SSD,AMD
HP,Notebook,15.6,4,Windows 10,1.86,488.69,1366,768,Intel,2.5,1000000,HDD,Intel
HP,Notebook,15.6,8,Windows 10,2.1,879.0,1920,1080,Intel,1.6,256000,SSD,Nvidia
Asus,Notebook,15.6,4,Linux,2.0,389.0,1920,1080,Intel,2.0,1000000,HDD,Intel
Dell,Gaming,15.6,16,Windows 10,2.65,1499.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
Asus,Notebook,15.6,8,Linux,2.3,522.99,1366,768,Intel,2.5,1000000,HDD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.2,682.0,1920,1080,Intel,1.6,256000,SSD,Intel
Dell,2in1_Convertible,17.3,12,Windows 10,2.77,999.0,1920,1080,Intel,1.6,1000000,HDD,Nvidia
Lenovo,Notebook,15.6,4,No OS,2.2,369.0,1366,768,Intel,2.0,128000,SSD,Intel
Asus,Gaming,17.3,8,Windows 10,3.2,1299.0,1920,1080,AMD,3.0,256000,SSD,AMD
Dell,Notebook,15.6,4,Windows 10,2.3,639.0,1920,1080,Intel,2.5,256000,SSD,AMD
Asus,Notebook,17.3,4,Windows 10,2.8,466.0,1366,768,Intel,1.1,1000000,HDD,Nvidia
Lenovo,2in1_Convertible,10.1,4,Android,0.69,319.0,1920,1200,Intel,1.44,64000,Flash,Intel
Acer,Notebook,15.6,8,Windows 10,2.2,841.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,398.49,1920,1080,AMD,2.5,256000,SSD,AMD
HP,Notebook,13.3,8,Windows 10,1.49,1103.0,1920,1080,Intel,1.8,512000,SSD,Intel
Acer,Notebook,15.6,4,Windows 10,2.4,384.0,1366,768,Intel,2.4,1000000,HDD,Intel
Dell,Notebook,15.6,8,Windows 10,2.13,767.8,1920,1080,Intel,1.8,256000,SSD,AMD
HP,Notebook,15.6,4,Windows 10,1.91,439.0,1920,1080,Intel,2.0,128000,SSD,Intel
Asus,Notebook,15.6,4,Windows 10,2.0,586.19,1366,768,Intel,2.5,256000,SSD,Intel
Asus,Notebook,15.6,4,Linux,2.0,415.0,1920,1080,Intel,2.0,256000,SSD,Intel
Dell,Notebook,17.3,16,Windows 10,2.8,1299.0,1920,1080,Intel,1.8,256000,SSD,AMD
Dell,Ultrabook,14.0,8,Windows 10,1.7,879.0,1920,1080,Intel,1.6,256000,SSD,Intel
Lenovo,Notebook,14.0,8,No OS,1.7,599.0,1920,1080,Intel,2.7,256000,SSD,Intel
Asus,Notebook,14.0,8,Windows 10,1.4,941.0,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Notebook,15.6,8,Windows 10,1.86,690.0,1920,1080,Intel,2.5,256000,SSD,Intel
Asus,Ultrabook,15.6,16,Windows 10,1.8,1983.0,1920,1080,Intel,2.8,512000,SSD,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,438.69,1366,768,Intel,2.0,500000,HDD,AMD
HP,Notebook,14.0,4,Windows 10,1.44,229.0,1366,768,Intel,1.6,32000,SSD,Intel
Lenovo,Notebook,15.6,4,Windows 10,1.9,549.0,1920,1080,Intel,2.5,1000000,HDD,Intel
Asus,Gaming,17.3,12,Linux,3.0,949.0,1920,1080,Intel,2.8,1000000,HDD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.4,955.0,1920,1080,Intel,1.8,256000,SSD,AMD
Dell,Notebook,15.6,8,Windows 10,2.2,870.0,1920,1080,Intel,1.8,256000,SSD,AMD
Acer,Notebook,14.0,8,Windows 10,2.1,389.0,1366,768,Intel,2.0,1000000,HDD,Intel
Asus,Gaming,15.6,8,Windows 10,2.2,949.0,1920,1080,Intel,2.8,1000000,HDD,Nvidia
Lenovo,Notebook,15.6,8,No OS,2.2,519.0,1920,1080,Intel,2.5,2000000,HDD,Intel
Dell,Notebook,15.6,8,Windows 10,2.02,855.0,1920,1080,Intel,1.8,128000,SSD,Intel
Acer,Notebook,15.6,4,Windows 10,2.2,530.0,1920,1080,Intel,2.7,1000000,HDD,Nvidia
HP,Notebook,17.3,8,Windows 10,2.5,977.0,1920,1080,Intel,1.6,128000,SSD,Nvidia
Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Notebook,14.0,8,Windows 10,1.63,860.0,1920,1080,Intel,1.6,256000,SSD,Intel
Lenovo,Notebook,15.6,4,Windows 10,2.2,399.0,1920,1080,AMD,2.5,128000,SSD,AMD
Acer,Notebook,15.6,4,Windows 10,2.1,395.0,1366,768,AMD,3.0,1000000,HDD,AMD
Dell,Gaming,15.6,16,Windows 10,2.65,1349.0,1920,1080,Intel,2.8,128000,SSD,Nvidia
HP,Ultrabook,15.6,8,Windows 10,1.83,699.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.96,598.99,1920,1080,Intel,2.5,256000,SSD,Intel
Asus,Gaming,15.6,16,Windows 10,2.2,1449.0,1920,1080,Intel,2.8,128000,SSD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.21,1649.0,1920,1080,Intel,1.8,256000,SSD,Intel
Asus,Gaming,15.6,8,Windows 10,2.45,699.0,1920,1080,AMD,3.0,1000000,HDD,AMD
Acer,Notebook,15.6,8,Windows 10,2.2,689.0,1920,1080,Intel,1.8,1000000,HDD,Nvidia
HP,Notebook,13.3,16,Windows 10,1.49,1197.0,1920,1080,Intel,1.8,512000,SSD,Intel
Dell,Gaming,15.6,8,Windows 10,2.65,1195.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Asus,Ultrabook,14.0,8,Windows 10,1.25,1049.0,1920,1080,Intel,2.7,256000,SSD,Intel
Acer,2in1_Convertible,13.3,8,Windows 10,1.5,847.0,1920,1080,Intel,1.6,256000,SSD,Intel
Dell,Notebook,15.6,8,Linux,2.2,599.9,1920,1080,Intel,2.7,1000000,HDD,AMD
Dell,Notebook,15.6,4,Linux,2.2,485.0,1920,1080,Intel,2.0,256000,SSD,AMD
Asus,Notebook,15.6,6,Windows 10,2.0,577.0,1920,1080,Intel,2.4,256000,SSD,Nvidia
HP,Gaming,15.6,12,Windows 10,2.62,1249.0,1920,1080,Intel,2.8,128000,SSD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.91,719.0,1920,1080,Intel,2.7,256000,SSD,AMD
HP,Notebook,15.6,4,Windows 10,2.1,349.0,1920,1080,AMD,1.5,500000,HDD,AMD
Dell,Notebook,15.6,8,Linux,2.2,647.0,1920,1080,Intel,1.6,1000000,HDD,AMD
HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,1920,1080,Intel,2.7,256000,SSD,Nvidia
HP,Notebook,14.0,6,Windows 10,1.58,659.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,1920,1080,Intel,2.0,1000000,HDD,Intel
Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,1920,1080,Intel,2.7,256000,SSD,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.58,1480.0,1920,1080,Intel,2.7,256000,SSD,Intel
Asus,Ultrabook,15.6,16,Windows 10,1.5,1262.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.23,1379.0,3200,1800,Intel,2.4,256000,SSD,Intel
Lenovo,2in1_Convertible,13.3,8,Windows 10,1.37,1399.0,1920,1080,Intel,2.5,256000,SSD,Intel
HP,Notebook,14.0,4,Windows 10,1.63,722.0,1366,768,Intel,1.6,500000,HDD,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.21,1629.0,1920,1080,Intel,1.6,256000,SSD,Intel
HP,2in1_Convertible,13.3,8,Windows 10,1.26,1398.99,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Notebook,14.0,8,Windows 10,1.63,1084.0,1920,1080,Intel,1.8,512000,SSD,Intel
Dell,Notebook,15.6,8,Windows 10,2.16,1130.33,1920,1080,Intel,1.8,256000,SSD,Nvidia
Asus,Notebook,17.3,4,Windows 10,2.0,564.0,1920,1080,Intel,2.0,1000000,HDD,Nvidia
Asus,Notebook,15.6,8,Windows 10,1.7,1118.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
Acer,Notebook,15.6,6,Windows 10,2.1,479.0,1920,1080,Intel,2.4,1000000,HDD,Intel
Lenovo,Notebook,15.6,8,No OS,2.2,629.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
HP,Notebook,17.3,16,Windows 10,2.5,1271.0,1920,1080,Intel,1.8,512000,SSD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,451.0,1366,768,AMD,3.0,256000,SSD,AMD
HP,Notebook,15.6,4,No OS,1.86,259.0,1366,768,Intel,1.6,500000,HDD,Intel
HP,Notebook,14.0,8,Windows 10,1.63,812.0,1920,1080,Intel,1.6,1000000,HDD,Intel
Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,1366,768,AMD,1.5,64000,SSD,AMD
Dell,Notebook,17.3,16,Windows 10,2.8,1396.0,1920,1080,Intel,1.8,256000,SSD,AMD
HP,Notebook,17.3,8,Windows 10,2.5,928.0,1920,1080,Intel,1.6,256000,SSD,Intel
Dell,Notebook,15.6,8,Windows 10,2.36,638.99,1366,768,Intel,2.5,1000000,HDD,AMD
Dell,Notebook,15.6,4,Windows 10,2.2,449.0,1920,1080,Intel,2.0,1000000,HDD,AMD
Acer,Ultrabook,14.0,8,Windows 10,1.6,884.0,1920,1080,Intel,1.8,256000,SSD,Intel
Acer,Notebook,15.6,4,Windows 10,2.2,572.0,1920,1080,Intel,2.7,256000,SSD,Nvidia
HP,Notebook,15.6,8,Windows 10,2.05,598.0,1366,768,Intel,2.7,1000000,HDD,Intel
HP,Notebook,14.0,8,Windows 10,1.63,988.0,1920,1080,Intel,1.8,256000,SSD,Intel
Lenovo,Notebook,15.6,4,No OS,1.9,252.36,1366,768,Intel,1.1,1000000,HDD,Intel
Asus,Gaming,17.3,8,Windows 10,3.0,938.0,1920,1080,Intel,2.5,128000,SSD,Nvidia
Lenovo,Notebook,15.6,4,No OS,2.2,499.0,1920,1080,Intel,2.5,1000000,HDD,Nvidia
HP,Notebook,13.3,4,Windows 10,1.32,699.0,1920,1080,Intel,2.5,256000,SSD,Intel
Acer,Notebook,17.3,4,Windows 10,3.0,655.0,1920,1080,Intel,2.7,1000000,HDD,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.75,1116.02,1920,1080,Intel,1.6,256000,SSD,AMD
Lenovo,Gaming,15.6,8,No OS,2.4,869.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,369.0,1366,768,AMD,2.5,256000,SSD,AMD
Asus,Ultrabook,14.0,8,Windows 10,1.25,1099.0,1920,1080,Intel,1.8,256000,SSD,Intel
HP,Ultrabook,12.5,8,Windows 10,0.97,2014.0,3840,2160,Intel,1.2,512000,SSD,Intel
Asus,Notebook,15.6,4,Windows 10,2.0,344.0,1920,1080,Intel,1.1,1000000,HDD,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,447.0,1366,768,Intel,2.0,1000000,HDD,Intel
Dell,Gaming,15.6,16,Windows 10,2.56,1249.26,1920,1080,Intel,2.8,512000,SSD,Nvidia
Dell,Gaming,15.6,8,Windows 10,2.62,899.0,1920,1080,Intel,2.8,1000000,Hybrid,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,1366,768,Intel,2.5,128000,SSD,Intel
HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,1920,1080,Intel,2.7,256000,SSD,Intel
HP,Notebook,15.6,6,Windows 10,1.91,619.0,1920,1080,Intel,1.6,256000,SSD,AMD
Lenovo,2in1_Convertible,14.0,4,Windows 10,1.74,629.0,1920,1080,Intel,2.4,256000,SSD,Intel
Asus,2in1_Convertible,13.3,8,Windows 10,1.1,1315.0,1920,1080,Intel,1.6,256000,SSD,Intel
Dell,2in1_Convertible,15.6,8,Windows 10,1.56,1049.0,1920,1080,Intel,1.8,256000,SSD,Intel
Asus,Notebook,15.6,4,Windows 10,2.03,403.0,1366,768,AMD,3.0,1000000,HDD,AMD
Acer,Notebook,17.3,4,Windows 10,3.0,805.0,1920,1080,Intel,1.6,256000,SSD,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.13,728.0,1920,1080,Intel,1.6,256000,SSD,AMD
Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,348.0,1366,768,Intel,1.1,1000000,HDD,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,363.51,1366,768,Intel,1.1,1000000,HDD,Intel
Dell,Gaming,15.6,8,Windows 10,2.56,1060.49,1920,1080,Intel,2.8,128000,SSD,Nvidia
Acer,Notebook,17.3,8,Windows 10,3.0,854.0,1920,1080,Intel,1.6,256000,SSD,Nvidia
HP,Notebook,13.3,4,Windows 10,1.49,754.0,1920,1080,Intel,1.6,500000,HDD,Intel
HP,Notebook,17.3,6,Windows 10,2.71,699.0,1920,1080,Intel,2.5,2000000,HDD,AMD
Lenovo,Notebook,15.6,4,No OS,2.2,309.0,1366,768,AMD,2.9,500000,HDD,AMD
HP,Notebook,17.3,8,Windows 10,2.5,923.0,1920,1080,Intel,1.6,256000,SSD,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.3,459.0,1366,768,Intel,2.4,1000000,HDD,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,449.0,1366,768,Intel,2.0,128000,SSD,Intel
Lenovo,Notebook,15.6,8,Windows 10,1.9,813.0,1920,1080,Intel,2.5,128000,SSD,AMD
HP,2in1_Convertible,13.3,8,Windows 10,1.29,1499.0,3840,2160,Intel,1.6,256000,SSD,Intel
Dell,Notebook,15.6,16,Linux,2.02,1049.0,1920,1080,Intel,1.8,256000,SSD,AMD
Dell,Ultrabook,13.3,8,Windows 10,1.23,1399.0,1920,1080,Intel,1.6,256000,SSD,Intel
Lenovo,2in1_Convertible,13.9,16,Windows 10,1.4,1849.0,3840,2160,Intel,1.8,512000,SSD,Intel
Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,1920,1080,Intel,1.8,512000,SSD,Nvidia
Dell,Notebook,15.6,16,Windows 10,2.06,2397.0,3840,2160,Intel,2.8,512000,SSD,Nvidia
Lenovo,Gaming,15.6,8,No OS,2.4,779.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Acer,Ultrabook,13.3,8,Windows 10,1.12,989.0,1920,1080,Intel,1.2,256000,SSD,Intel
Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,1920,1080,Intel,1.8,128000,SSD,AMD
Lenovo,2in1_Convertible,14.0,16,Windows 10,1.42,2824.0,2560,1440,Intel,2.7,1000000,SSD,Intel
Lenovo,Notebook,17.3,8,No OS,2.8,698.0,1600,900,Intel,1.6,256000,SSD,Nvidia
Dell,2in1_Convertible,13.3,8,Windows 10,1.62,839.0,1920,1080,Intel,1.8,1000000,HDD,Intel
HP,Notebook,17.3,8,Windows 10,2.5,914.0,1920,1080,Intel,1.6,1000000,HDD,Nvidia
HP,Notebook,13.3,8,Windows 10,1.49,959.0,1920,1080,Intel,1.6,512000,SSD,Intel
HP,Gaming,17.3,16,Windows 10,3.35,1379.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
HP,Notebook,17.3,8,Windows 10,2.5,1045.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
Dell,Gaming,15.6,16,Windows 10,2.65,1845.0,3840,2160,Intel,2.8,512000,SSD,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,2.1,493.0,1366,768,Intel,2.3,128000,SSD,Intel
Acer,Notebook,15.6,8,Windows 10,2.23,742.0,1920,1080,Intel,2.7,1000000,HDD,Nvidia
Lenovo,Gaming,15.6,16,Windows 10,3.2,1749.0,1920,1080,Intel,2.8,512000,SSD,Nvidia
Dell,Workstation,15.6,16,Windows 10,2.8,3055.0,3840,2160,Intel,3.0,256000,SSD,Nvidia
Lenovo,Gaming,15.6,16,No OS,2.4,1398.0,1920,1080,Intel,2.8,512000,SSD,Nvidia
Dell,Notebook,15.6,6,Windows 10,2.3,439.0,1366,768,Intel,2.4,1000000,HDD,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.21,1949.0,3840,2160,Intel,1.8,256000,SSD,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,1920,1080,Intel,1.8,256000,SSD,Intel
Lenovo,Notebook,15.6,8,Windows 10,2.2,597.0,1366,768,Intel,2.5,256000,SSD,Intel
Acer,Notebook,15.6,8,Linux,2.4,779.0,1920,1080,Intel,2.8,1000000,HDD,Nvidia
Asus,Gaming,17.3,16,Windows 10,2.9,1407.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
HP,Notebook,15.6,4,No OS,2.1,349.0,1920,1080,Intel,2.0,500000,HDD,Intel
Lenovo,Notebook,15.6,8,No OS,2.2,549.0,1920,1080,Intel,2.5,256000,SSD,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.4,931.88,1920,1080,Intel,1.8,256000,SSD,AMD
Lenovo,Notebook,17.3,8,No OS,2.8,589.0,1600,900,Intel,2.5,1000000,HDD,Nvidia
HP,Notebook,14.0,8,Windows 10,1.63,1031.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
Dell,Ultrabook,14.0,8,Windows 10,1.6,1149.0,1920,1080,Intel,1.6,256000,SSD,Intel
Dell,2in1_Convertible,13.3,16,Windows 10,1.62,1279.0,1920,1080,Intel,1.8,512000,SSD,Intel
Dell,Notebook,15.6,8,Linux,2.2,677.35,1920,1080,Intel,1.6,256000,SSD,AMD
Lenovo,2in1_Convertible,14.0,8,Windows 10,1.74,899.0,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Notebook,15.6,8,Windows 10,2.1,794.0,1920,1080,Intel,1.6,1000000,HDD,Intel
Dell,Gaming,17.3,16,Windows 10,4.42,2456.34,1920,1080,Intel,2.8,256000,SSD,Nvidia
Acer,Notebook,15.6,8,Windows 10,2.2,832.0,1920,1080,Intel,2.7,256000,SSD,Nvidia
Dell,Notebook,15.6,16,Windows 10,2.3,859.01,1920,1080,Intel,2.7,1000000,HDD,AMD
Asus,Notebook,15.6,8,Windows 10,2.0,769.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Asus,Notebook,17.3,8,Windows 10,2.69,891.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.9,1269.0,1920,1080,Intel,2.7,1000000,HDD,AMD
Asus,Notebook,15.6,4,Windows 10,2.37,398.99,1366,768,Intel,2.4,1000000,HDD,Intel
HP,Notebook,15.6,4,Windows 10,2.1,330.0,1366,768,AMD,1.5,500000,HDD,AMD
Lenovo,Gaming,15.6,16,Windows 10,3.2,1499.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
Dell,Notebook,14.0,8,Windows 10,1.6,859.0,1920,1080,Intel,2.5,256000,SSD,Intel
Acer,2in1_Convertible,13.3,8,Windows 10,1.6,689.0,1920,1080,Intel,2.3,256000,SSD,Intel
Dell,Notebook,15.6,16,Linux,2.36,899.0,1920,1080,Intel,2.7,256000,SSD,AMD
Acer,Notebook,15.6,4,Linux,2.1,390.0,1366,768,Intel,2.0,1000000,HDD,Intel
Asus,Notebook,15.6,4,Windows 10,2.2,575.0,1920,1080,AMD,2.5,128000,SSD,AMD
Asus,Gaming,17.3,32,Windows 10,4.7,3890.0,1920,1080,Intel,2.9,512000,SSD,Nvidia
Acer,Gaming,15.6,8,Windows 10,2.5,846.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,2.2,589.0,1366,768,Intel,2.0,128000,SSD,Intel
Asus,Notebook,17.3,8,Windows 10,2.1,1145.0,1920,1080,Intel,1.8,128000,SSD,Nvidia
Asus,Notebook,17.3,8,No OS,2.69,889.0,1920,1080,Intel,2.7,128000,SSD,Nvidia
Dell,Gaming,15.6,8,Windows 10,2.56,879.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Lenovo,2in1_Convertible,13.9,8,Windows 10,1.38,1079.0,1920,1080,Intel,2.7,256000,SSD,Intel
Dell,Notebook,15.6,8,Windows 10,2.2,985.0,1920,1080,Intel,1.8,128000,SSD,AMD
HP,Notebook,15.6,8,Windows 10,2.04,559.0,1366,768,Intel,2.5,1000000,HDD,Intel
Asus,Gaming,17.3,16,Windows 10,3.6,2999.0,1920,1080,Intel,2.9,256000,SSD,Nvidia
HP,Notebook,13.3,4,Windows 10,1.49,675.0,1920,1080,Intel,1.6,500000,HDD,Intel
Dell,2in1_Convertible,15.6,8,Windows 10,2.08,819.0,1920,1080,Intel,1.8,1000000,HDD,Intel
Asus,Gaming,17.3,16,Windows 10,4.3,1799.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
Asus,Notebook,15.6,4,Windows 10,1.68,469.0,1366,768,AMD,3.0,1000000,HDD,AMD
Lenovo,2in1_Convertible,13.9,8,Windows 10,1.37,1849.0,1920,1080,Intel,1.8,512000,SSD,Intel
Acer,Notebook,17.3,4,Windows 10,3.0,702.0,1920,1080,Intel,2.7,256000,SSD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.41,949.0,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Notebook,15.6,8,Windows 10,1.91,445.9,1366,768,AMD,2.5,128000,SSD,AMD
HP,Notebook,17.3,16,Windows 10,2.9,1059.0,1920,1080,Intel,1.8,1000000,HDD,Nvidia
Lenovo,2in1_Convertible,15.6,8,Windows 10,2.0,1699.0,1920,1080,Intel,2.8,512000,SSD,Nvidia
Dell,Notebook,17.3,8,Windows 10,2.8,1142.0,1920,1080,Intel,1.8,128000,SSD,AMD
Lenovo,Notebook,15.6,4,No OS,2.2,444.0,1920,1080,Intel,2.0,256000,SSD,Intel
HP,Notebook,15.6,4,Windows 10,2.1,722.0,1920,1080,Intel,1.6,500000,HDD,Intel
Dell,Notebook,15.6,4,Windows 10,2.18,657.0,1920,1080,Intel,2.5,1000000,HDD,Intel
Dell,Notebook,15.6,8,Windows 10,2.24,565.0,1920,1080,Intel,2.5,1000000,HDD,AMD
Dell,2in1_Convertible,15.6,8,Windows 10,2.67,799.0,1920,1080,Intel,1.6,256000,SSD,Intel
Asus,2in1_Convertible,13.3,8,Windows 10,1.1,1499.0,1920,1080,Intel,1.8,512000,SSD,Intel
Lenovo,Notebook,15.6,4,No OS,2.2,467.0,1920,1080,Intel,2.5,1000000,HDD,Intel
HP,Notebook,17.3,8,Windows 10,2.5,1018.0,1920,1080,Intel,1.8,1000000,HDD,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,1920,1080,Intel,1.8,256000,SSD,Intel
Asus,Gaming,17.3,16,Windows 10,3.2,1549.0,1920,1080,AMD,3.0,256000,SSD,AMD
Dell,Notebook,15.6,8,Linux,2.14,735.07,1920,1080,Intel,1.8,256000,SSD,AMD
Lenovo,2in1_Convertible,14.0,16,Windows 10,1.36,2499.0,2560,1440,Intel,2.6,512000,SSD,Intel
Dell,Notebook,15.6,12,Windows 10,2.3,713.07,1366,768,Intel,2.7,1000000,HDD,Intel
Dell,Notebook,17.3,8,Linux,2.8,1099.0,1920,1080,Intel,1.8,128000,SSD,AMD
Acer,Notebook,15.6,8,Windows 10,2.2,745.0,1920,1080,Intel,1.8,1000000,HDD,Nvidia
Lenovo,Notebook,17.3,4,Windows 10,2.8,489.0,1600,900,Intel,2.0,1000000,HDD,Intel
Lenovo,Notebook,17.3,8,No OS,2.8,849.0,1920,1080,Intel,1.8,2000000,HDD,Nvidia
Lenovo,Notebook,17.3,6,Windows 10,2.8,859.0,1600,900,Intel,2.7,128000,SSD,Nvidia
Dell,Notebook,15.6,4,Linux,2.25,428.0,1920,1080,Intel,2.0,1000000,HDD,AMD
Lenovo,Gaming,15.6,8,Windows 10,2.5,829.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Lenovo,Notebook,15.6,6,Windows 10,2.2,579.0,1920,1080,Intel,2.5,256000,SSD,Intel
Acer,Notebook,15.6,8,Windows 10,3.0,951.0,1920,1080,Intel,1.8,256000,SSD,Nvidia
Acer,Notebook,15.6,12,Windows 10,2.15,659.0,1920,1080,Intel,2.7,1000000,HDD,Intel
Lenovo,Notebook,15.6,8,Windows 10,1.95,1097.0,1920,1080,Intel,2.7,256000,SSD,Intel
Asus,Ultrabook,15.6,8,Windows 10,1.7,977.0,1920,1080,Intel,2.5,256000,SSD,Nvidia
Lenovo,Gaming,15.6,16,Windows 10,2.5,1179.0,1920,1080,Intel,2.8,256000,SSD,Nvidia
